bpm,danceability_%,valence_%,energy_%,acousticness_%,instrumentalness_%,liveness_%,speechiness_%,mode
166,57,84,94,11,0,37,9,0
160,71,40,50,16,0,16,22,0
160,65,95,80,5,0,41,16,0
92,70,81,63,4,0,8,4,0
170,56,53,64,11,0,45,6,0
96,83,93,65,58,0,9,8,1
120,67,40,52,86,0,12,4,0
98,70,37,54,6,0,9,8,0
92,53,12,34,1,0,12,4,0
150,34,24,56,4,0,11,3,0
94,37,17,47,2,46,11,3,0
90,74,36,63,26,0,27,5,1
160,54,54,55,67,0,42,11,0
120,70,59,75,24,0,9,4,0
109,63,46,85,1,0,9,5,0
129,57,41,66,63,0,12,5,1
157,54,75,60,30,0,7,5,0
130,63,49,73,5,0,9,3,0
107,65,19,72,10,0,13,25,1
146,50,67,89,0,0,19,8,1
139,48,37,41,32,0,10,10,1
116,74,76,70,7,0,13,3,0
95,84,52,77,12,0,7,4,1
170,62,55,80,15,0,37,7,1
134,81,18,64,3,0,10,11,1
84,57,86,90,2,0,9,5,1
146,61,20,48,21,0,12,6,1
74,53,24,67,11,0,10,28,1
144,75,35,48,84,0,10,12,0
136,77,79,73,15,0,27,10,1
100,56,53,55,53,0,12,4,0
105,89,67,78,9,0,7,33,1
106,67,24,78,15,0,30,4,0
132,85,53,68,40,0,9,4,0
120,78,5,30,21,0,13,5,0
155,82,51,39,2,0,9,49,0
129,70,42,43,78,0,11,3,0
135,80,85,74,62,0,8,9,1
98,73,45,62,28,0,13,13,1
124,84,64,39,3,0,11,4,1
135,77,28,55,18,0,22,15,1
107,78,39,53,30,0,11,6,0
96,54,25,74,14,0,9,11,0
123,71,58,70,30,0,32,19,0
90,62,7,62,6,0,58,6,0
117,72,45,59,14,0,20,21,1
133,78,90,84,31,0,7,4,1
96,74,61,83,11,0,35,6,1
149,66,85,60,40,0,14,13,0
110,66,32,40,81,0,11,3,1
105,95,62,52,3,0,5,16,0
105,80,69,78,28,0,11,14,0
134,76,61,58,6,0,16,3,0
170,71,59,56,4,0,27,12,1
81,59,26,60,46,1,25,13,0
154,63,75,92,31,0,91,5,0
169,69,69,51,63,0,38,4,0
115,78,64,69,4,0,7,14,0
84,43,14,74,1,0,19,8,1
93,79,58,62,11,0,11,23,0
91,82,47,62,10,0,10,15,0
142,82,54,44,6,0,33,7,1
126,78,20,70,1,0,16,4,0
97,73,10,44,26,0,16,8,0
101,92,59,51,41,51,26,8,0
98,80,23,48,14,0,6,5,1
154,59,63,89,18,0,80,9,0
120,91,63,58,52,0,31,22,0
150,49,4,55,7,0,6,3,0
174,47,27,78,11,0,10,8,0
202,34,25,51,69,0,18,4,0
153,56,42,52,5,0,36,24,1
142,60,13,37,58,0,13,3,0
108,84,55,47,26,0,20,64,1
143,83,25,69,4,0,23,12,0
108,67,55,67,60,0,80,5,0
104,95,78,66,3,0,4,6,1
93,84,96,79,43,0,18,11,1
105,65,46,53,16,0,9,5,1
170,44,27,32,89,0,14,5,0
178,62,56,66,18,0,12,5,1
176,50,44,76,10,0,32,5,1
104,80,38,88,11,0,11,5,1
85,70,83,84,31,0,47,30,0
117,77,69,58,39,0,26,5,1
80,52,57,48,86,0,15,39,0
98,44,36,41,50,0,38,5,0
178,79,58,78,34,0,11,25,1
148,51,27,33,48,0,22,3,0
120,77,94,66,65,0,38,3,0
122,68,38,88,1,0,8,5,1
144,74,75,73,42,0,9,4,0
96,93,47,47,33,0,10,36,0
137,77,35,88,16,0,17,9,0
121,94,71,61,12,0,53,42,1
119,60,10,57,1,0,50,3,1
96,72,40,47,71,0,13,4,0
111,87,53,52,66,1,11,5,0
148,90,74,68,14,0,10,19,0
182,57,80,59,8,0,6,5,0
141,79,82,86,28,0,4,9,0
145,76,80,81,19,0,6,9,1
110,76,26,70,1,0,41,6,1
134,70,35,41,41,0,10,3,0
130,92,78,62,18,0,6,10,0
145,84,88,53,35,0,8,7,0
130,69,36,90,1,10,15,4,1
173,59,69,53,12,0,23,3,0
92,75,55,76,25,0,10,15,1
105,56,57,87,0,1,10,4,1
175,59,15,64,43,90,12,10,1
120,80,33,70,22,0,9,4,1
139,70,77,48,37,0,12,5,1
132,59,56,82,12,0,12,6,1
114,32,17,74,14,0,17,3,0
145,54,19,48,36,0,37,5,1
110,82,67,69,0,0,18,4,0
94,89,61,66,17,0,36,16,0
134,45,17,60,21,0,33,4,0
120,62,32,76,0,0,39,4,0
123,70,86,68,24,0,11,4,1
131,77,84,71,35,0,15,4,0
171,70,6,73,1,0,36,26,0
130,80,64,76,2,0,20,6,1
94,82,53,67,34,0,9,8,0
89,73,44,57,39,0,32,6,1
87,65,71,56,4,0,15,20,1
124,72,79,78,55,0,15,30,1
78,71,80,65,51,0,22,32,0
120,70,70,79,7,0,18,10,0
96,48,50,80,40,0,37,20,1
106,73,22,86,31,0,12,4,0
170,78,75,46,62,0,12,35,1
134,67,11,76,8,47,30,7,1
115,71,90,73,30,0,11,5,0
130,74,79,87,45,0,30,3,0
118,65,63,79,3,0,10,3,0
110,59,22,38,42,0,12,3,0
100,72,42,66,18,4,19,4,0
142,70,76,79,26,0,11,7,1
140,64,18,37,72,0,12,7,0
116,90,96,73,62,0,9,4,0
120,73,64,85,25,0,61,3,0
92,76,46,79,31,0,7,6,1
110,81,64,79,5,0,31,3,1
120,71,57,97,1,0,13,11,0
80,63,40,61,9,0,56,6,0
115,95,43,69,47,0,9,31,1
76,58,46,67,65,0,13,4,0
172,60,77,78,45,0,12,6,0
99,40,45,56,69,0,9,5,0
136,36,12,57,9,0,14,8,1
150,90,64,14,67,35,11,10,1
92,71,41,31,79,0,10,5,1
95,77,72,87,17,0,7,5,0
102,83,58,83,21,0,10,5,1
145,70,34,55,43,0,16,6,1
110,50,24,86,0,0,64,4,0
95,64,30,77,46,0,38,6,0
94,68,81,82,53,0,9,13,1
142,61,92,91,0,0,26,3,0
145,59,20,74,1,0,15,5,1
121,64,67,80,0,0,36,3,1
140,66,43,76,49,0,12,3,1
137,84,44,67,8,0,11,6,1
104,56,72,85,0,0,15,3,0
92,57,68,76,7,0,33,3,0
146,74,51,45,86,0,21,38,1
120,56,20,43,89,0,12,4,0
144,68,83,81,9,0,8,4,0
94,59,44,56,80,0,6,3,0
94,73,65,79,5,2,11,6,0
113,79,66,74,8,0,11,5,1
148,50,49,76,12,0,12,3,0
98,70,29,73,12,0,11,26,0
140,58,26,38,91,0,10,4,0
100,36,28,28,81,0,18,3,0
140,86,68,79,39,0,11,29,0
100,59,78,94,27,0,29,23,1
100,59,49,65,2,0,13,3,1
132,87,82,70,42,0,21,5,1
142,49,48,67,10,0,26,3,0
176,72,96,63,25,0,21,7,1
140,53,51,70,49,0,14,3,0
105,55,40,90,1,0,32,6,1
135,81,97,77,75,0,35,3,0
128,82,61,59,30,0,12,4,1
101,74,43,69,12,0,12,7,0
122,88,43,50,7,0,14,5,0
105,76,49,56,80,12,10,13,1
83,53,40,36,73,0,11,33,0
77,72,59,76,24,0,42,28,1
140,75,18,25,78,0,11,26,1
158,65,72,95,31,0,92,5,0
176,75,43,65,15,0,11,32,0
98,73,88,57,56,0,5,2,0
107,66,47,40,72,0,11,3,1
