bpm,danceability_%,valence_%,energy_%,acousticness_%,instrumentalness_%,liveness_%,speechiness_%,mode
140,81,39,66,38,0,12,14,1
109,84,72,74,10,0,34,7,1
101,78,40,74,36,0,17,27,1
78,56,61,90,36,0,18,31,0
93,79,22,55,31,0,12,5,1
87,52,32,83,24,0,17,43,0
153,55,50,78,19,0,11,35,1
142,87,93,59,28,0,17,5,0
96,85,41,43,39,0,12,21,1
125,50,39,78,4,0,11,33,0
85,71,43,65,23,0,9,5,0
140,92,78,57,46,0,14,9,1
196,66,58,79,23,0,22,20,1
134,78,51,43,69,0,14,9,0
103,80,45,62,76,0,10,38,1
130,82,50,67,12,0,13,5,0
108,65,52,69,31,0,8,36,0
123,61,66,71,53,0,32,46,0
152,84,74,69,21,0,18,6,0
108,78,55,60,59,0,7,4,0
72,56,56,47,76,0,8,36,1
121,86,67,65,42,0,35,7,1
138,57,71,82,19,0,15,29,1
188,50,41,50,69,0,12,6,1
110,80,26,85,23,0,11,21,0
105,81,77,79,19,0,47,8,0
118,63,60,70,5,0,9,31,0
176,61,24,62,60,0,24,31,0
158,83,41,65,0,10,11,8,0
115,85,72,58,9,0,49,12,1
110,51,48,82,0,0,5,3,1
174,73,26,54,30,0,34,32,0
130,91,91,96,3,0,3,9,0
78,36,30,54,34,0,14,5,0
104,44,74,42,88,0,9,9,0
121,64,80,88,0,0,12,6,0
105,83,32,82,14,0,12,4,0
81,38,20,66,9,0,9,8,0
170,37,14,24,80,0,11,4,1
78,43,60,38,76,1,48,38,0
125,88,28,66,6,0,13,31,0
92,66,29,65,23,0,8,7,1
140,84,61,42,31,0,9,9,1
96,61,32,90,25,0,10,9,0
118,66,83,43,84,0,19,19,1
92,71,67,60,7,0,6,4,1
140,49,50,37,87,0,11,35,1
174,68,45,71,18,0,11,25,0
127,77,53,78,19,0,29,4,0
96,71,37,52,62,0,11,36,0
150,82,82,66,13,0,11,6,1
100,87,46,60,1,0,13,16,0
105,73,59,81,13,0,9,6,1
104,86,43,62,5,0,13,14,0
154,54,45,79,1,0,17,5,0
80,47,33,83,18,0,10,5,0
150,53,14,43,64,0,13,3,0
156,32,49,72,0,0,9,4,1
98,76,79,81,18,0,6,34,1
92,58,27,36,86,0,9,3,0
144,47,7,50,32,0,7,4,0
150,37,27,56,8,0,13,3,0
138,70,31,44,84,0,9,39,0
172,56,68,89,4,0,33,19,0
77,72,70,82,2,0,4,17,0
107,72,36,72,26,6,11,4,0
114,51,39,29,90,0,10,4,0
117,63,29,51,43,0,25,4,0
146,69,63,45,48,0,18,4,0
160,80,74,60,8,0,14,26,1
120,88,15,56,1,0,8,6,0
100,82,76,70,16,0,8,5,1
158,60,68,84,4,0,24,11,1
142,56,40,54,72,0,10,4,0
170,80,77,85,11,0,17,14,1
84,71,39,86,2,0,51,25,1
139,58,30,46,14,0,9,3,0
151,73,88,67,20,0,32,5,0
128,82,42,75,6,0,63,6,1
118,56,20,54,67,0,6,5,0
183,65,88,72,36,14,20,3,0
83,63,29,62,4,0,18,4,1
122,85,42,80,6,0,17,14,0
165,72,90,48,32,0,18,23,0
106,83,90,64,35,5,9,4,1
77,81,68,58,83,0,11,34,0
91,57,30,89,10,0,33,8,0
148,51,21,63,5,0,41,3,0
114,71,90,81,31,2,13,3,1
120,91,63,77,12,1,10,5,1
92,83,56,82,10,0,9,5,0
118,56,25,45,1,3,7,3,0
123,60,46,71,3,0,16,4,1
89,52,28,48,54,1,19,3,0
110,81,61,93,49,0,12,11,1
118,42,32,20,94,0,11,4,0
90,68,54,76,21,0,11,20,1
130,49,14,40,82,0,11,3,0
154,70,97,62,47,0,10,4,1
105,54,59,83,0,44,20,4,1
115,70,87,88,4,0,26,8,1
110,91,59,82,8,0,6,8,0
125,51,5,68,12,2,15,6,1
102,73,62,75,0,0,34,8,0
120,81,72,65,4,0,14,4,1
97,80,36,86,4,0,3,5,0
140,44,41,92,0,0,44,7,1
97,78,31,72,1,0,11,4,0
125,45,67,90,9,11,10,5,0
88,80,55,56,13,0,8,9,1
170,56,52,64,11,0,45,7,0
137,88,8,49,9,0,9,14,1
157,88,52,69,0,0,8,23,0
130,95,83,57,54,0,10,25,0
90,85,80,83,10,0,8,11,0
183,44,44,67,7,0,12,13,1
128,58,68,91,2,0,27,11,0
130,71,78,40,46,0,7,45,1
126,63,56,43,24,0,12,23,0
120,77,94,87,2,0,23,12,0
130,72,18,46,7,0,28,8,1
122,70,46,76,30,0,9,45,0
172,74,46,58,15,0,13,8,1
103,61,38,62,14,0,23,40,0
122,55,46,64,0,0,17,10,1
130,47,56,90,0,0,10,4,0
105,81,70,65,24,0,8,4,1
120,90,73,51,39,0,9,6,0
145,56,43,53,24,0,12,4,0
99,79,64,59,28,0,11,14,1
88,79,66,65,5,0,25,14,1
126,81,90,73,28,0,29,4,0
136,77,71,75,33,1,13,4,0
113,70,97,59,55,0,27,12,0
132,82,49,88,20,0,21,3,0
135,77,74,74,47,0,34,8,0
126,67,49,77,11,0,19,11,0
102,67,72,74,30,0,36,4,1
125,68,80,92,10,0,9,12,0
149,37,28,66,14,0,9,5,0
137,74,71,89,24,61,15,5,0
120,77,78,91,14,0,33,12,1
100,90,75,50,11,0,9,26,0
164,70,58,57,25,0,15,7,1
93,65,79,66,31,0,22,7,1
180,65,52,80,5,0,6,25,1
79,34,22,31,43,63,10,7,0
146,56,21,44,73,0,11,2,0
103,37,17,27,75,5,10,3,0
140,70,26,76,8,0,54,23,1
92,81,48,70,13,0,15,7,0
102,64,4,60,11,0,19,4,1
118,82,75,85,33,1,11,4,1
93,78,75,62,6,0,15,6,0
150,70,26,56,14,83,11,5,1
130,52,24,60,0,0,8,3,0
83,65,24,53,6,0,51,4,1
102,84,43,75,5,0,6,8,0
136,73,65,91,4,0,48,18,1
145,66,24,58,17,0,19,5,0
130,57,24,37,11,18,16,3,0
156,72,92,77,9,0,8,11,0
123,57,50,85,5,0,16,4,0
132,92,53,62,7,0,63,10,0
125,49,13,74,0,0,9,4,1
162,74,22,67,0,0,11,46,1
138,80,82,81,14,0,13,36,0
161,59,62,60,12,0,5,44,1
131,91,23,55,1,0,7,32,1
122,75,45,63,6,0,35,12,1
80,80,16,28,17,0,12,39,1
109,75,11,50,20,0,30,17,0
158,84,33,36,2,0,39,59,0
126,66,12,35,55,0,9,14,0
104,73,25,61,1,0,32,7,0
110,48,15,31,80,22,12,4,0
130,77,20,70,1,0,16,5,0
177,34,39,16,97,0,12,5,0
158,48,55,84,43,0,15,12,0
114,62,25,44,51,33,14,3,1
144,93,62,61,0,0,12,20,0
125,54,22,76,0,0,14,3,0
142,85,40,43,4,0,39,32,1
120,64,11,53,1,0,25,27,0
96,57,55,74,22,0,8,4,0
144,60,24,39,57,0,8,3,0
166,42,7,24,83,1,12,6,0
92,80,81,67,4,0,8,6,0
97,82,67,77,8,0,12,5,0
90,61,32,67,15,0,11,5,1
